amount,previous_attempts,previous_successful_payments,previous_failed_payments,checkout_abandonment_minutes,hour_of_day,is_temporary_failure,failure_reason,recovered
6665,1,1,0,1,3,0,insufficient_funds,1
5000,2,2,0,0,3,1,temporary,1
10409,3,5,0,2,4,0,insufficient_funds,0
12588,2,1,1,0,22,0,insufficient_funds,0
5000,3,1,1,0,19,1,temporary,0
5000,1,1,0,2,22,1,temporary,1
5585,2,3,0,0,7,1,temporary,1
5000,2,3,1,0,8,1,temporary,1
5000,3,4,0,0,6,1,temporary,1
5000,1,1,1,30,18,0,checkout_abandoned,0
11841,1,4,1,10,18,0,checkout_abandoned,1
10697,1,1,1,5,22,0,checkout_abandoned,0
5250,1,4,2,0,6,0,checkout_abandoned,1
15172,3,2,0,5,22,1,network_error,0
7844,3,4,0,2,22,1,network_error,1
5000,1,3,2,0,2,0,card_declined,1
7106,3,0,0,30,8,0,checkout_abandoned,0
5000,2,1,3,1,4,0,insufficient_funds,0
11830,3,0,0,1,23,0,insufficient_funds,0
5000,1,2,2,10,11,0,insufficient_funds,1
5000,3,2,1,5,0,0,checkout_abandoned,0
5000,2,2,0,2,13,0,card_declined,1
16689,3,1,1,10,4,0,insufficient_funds,0
5000,2,1,1,5,8,0,card_declined,0
5000,3,0,0,2,13,0,insufficient_funds,0
5000,2,1,1,5,1,0,insufficient_funds,0
8369,3,1,1,0,21,0,insufficient_funds,0
7082,2,1,2,30,10,0,card_declined,0
7425,1,4,0,30,15,0,checkout_abandoned,1
7561,3,0,1,0,6,0,card_declined,1
41841,3,4,0,0,18,1,network_error,0
5000,2,3,1,10,10,1,network_error,1
5000,1,2,1,2,12,1,network_error,1
5000,3,4,2,0,6,0,checkout_abandoned,1
9099,3,1,1,30,4,0,checkout_abandoned,0
15198,3,1,0,2,10,0,card_declined,0
5000,3,3,3,0,7,1,network_error,0
5000,2,3,1,2,14,0,card_declined,0
5000,1,2,1,10,14,1,network_error,0
9420,1,2,0,1,8,0,insufficient_funds,1
10334,1,4,0,5,3,1,temporary,1
8460,1,1,0,0,5,0,card_declined,1
5000,3,2,1,0,6,1,network_error,0
6199,3,1,5,1,9,0,card_declined,0
5523,1,1,3,0,18,0,insufficient_funds,0
6116,2,2,0,0,6,0,card_declined,0
11747,1,1,2,2,17,0,checkout_abandoned,1
6146,2,1,1,1,1,1,temporary,0
9690,3,3,2,0,15,1,network_error,1
5258,3,1,1,0,15,0,checkout_abandoned,0
6562,3,3,0,1,19,1,network_error,1
9239,1,2,0,1,15,1,temporary,1
5000,3,3,1,30,7,0,insufficient_funds,0
5000,3,1,1,1,7,0,checkout_abandoned,0
5000,2,4,2,2,19,0,checkout_abandoned,0
5000,1,1,0,0,23,0,checkout_abandoned,1
5000,1,4,1,0,12,0,card_declined,1
21915,3,1,0,2,18,0,checkout_abandoned,1
5000,1,2,0,1,23,1,temporary,1
12942,1,0,1,0,21,1,temporary,1
5000,2,1,0,1,0,0,insufficient_funds,0
5000,1,0,0,2,11,1,temporary,1
5783,3,3,0,1,14,0,card_declined,0
8832,3,2,0,30,12,0,insufficient_funds,0
10008,1,2,1,0,14,1,temporary,1
10865,1,3,1,10,16,1,temporary,0
5000,1,2,0,30,5,1,temporary,0
5000,3,0,1,2,14,0,checkout_abandoned,1
11590,2,1,2,0,16,1,network_error,0
5000,2,1,1,1,16,0,insufficient_funds,1
5000,1,4,0,30,14,0,checkout_abandoned,0
5000,1,3,0,2,10,0,checkout_abandoned,1
5000,2,6,1,5,8,1,network_error,1
8080,1,2,3,1,3,0,checkout_abandoned,1
5667,2,1,1,2,18,1,network_error,1
9803,3,1,1,0,19,0,checkout_abandoned,0
5000,1,1,0,0,23,1,network_error,0
5759,2,1,0,0,9,1,temporary,1
9187,3,4,0,5,5,0,card_declined,0
5000,3,1,1,30,14,0,checkout_abandoned,0
7760,1,3,0,0,14,0,insufficient_funds,0
5000,1,0,2,0,8,1,temporary,0
5000,3,3,1,1,8,0,checkout_abandoned,0
5000,3,1,0,0,11,0,insufficient_funds,0
5000,1,1,0,2,10,0,checkout_abandoned,1
7998,2,4,0,0,15,0,insufficient_funds,1
5000,2,5,0,10,17,0,card_declined,1
5000,3,2,1,0,13,1,network_error,0
7948,3,2,2,1,16,0,checkout_abandoned,0
7681,2,0,1,0,3,1,network_error,0
9560,3,3,1,10,7,0,card_declined,0
5000,1,1,1,1,5,0,insufficient_funds,0
5000,1,2,1,30,19,0,checkout_abandoned,0
5000,3,0,0,2,4,0,card_declined,0
5000,1,5,0,10,20,0,checkout_abandoned,1
5000,3,2,1,30,13,0,insufficient_funds,0
5000,1,3,1,10,4,1,temporary,1
5000,2,2,2,5,9,1,temporary,0
7330,1,0,0,10,1,0,insufficient_funds,0
5000,3,1,1,10,5,0,card_declined,0
5000,2,4,0,5,14,1,temporary,1
18019,1,1,1,2,1,0,insufficient_funds,1
5000,2,1,0,2,12,0,checkout_abandoned,0
10275,1,2,1,0,18,1,temporary,1
5000,3,0,0,2,5,0,checkout_abandoned,1
5000,1,4,0,10,1,0,insufficient_funds,1
5000,2,1,2,10,14,0,checkout_abandoned,0
5000,2,4,1,1,9,0,card_declined,1
11387,1,0,0,1,9,1,network_error,1
5000,1,1,0,10,10,0,checkout_abandoned,0
7588,2,2,1,30,14,0,card_declined,0
6233,2,1,1,0,10,0,checkout_abandoned,0
5000,1,1,2,5,7,1,network_error,1
5000,1,1,1,1,3,0,insufficient_funds,1
5282,3,1,2,0,23,0,card_declined,0
5000,3,2,0,0,17,0,card_declined,1
6202,2,3,1,30,15,0,checkout_abandoned,0
5023,3,2,0,0,5,0,card_declined,1
24386,1,0,2,2,0,0,checkout_abandoned,0
5000,3,4,1,5,15,0,card_declined,1
5000,3,0,1,0,21,1,temporary,1
5879,1,2,0,10,9,0,insufficient_funds,1
6124,2,3,0,0,2,0,insufficient_funds,1
19133,3,0,1,10,12,1,network_error,0
11328,2,2,0,5,23,1,temporary,1
7022,1,1,1,10,10,1,network_error,0
21232,2,3,1,0,8,0,card_declined,1
5000,3,3,1,10,22,0,card_declined,0
5000,1,3,1,0,5,0,insufficient_funds,1
5000,2,2,1,10,8,1,network_error,1
5000,2,2,0,0,5,1,temporary,0
5000,2,1,2,5,3,0,checkout_abandoned,1
9275,1,3,1,30,21,1,network_error,1
5000,1,0,1,10,8,1,network_error,1
5000,3,3,1,0,19,0,insufficient_funds,0
5000,3,4,0,0,11,0,card_declined,0
6724,2,3,0,0,17,0,card_declined,0
11363,3,3,1,30,1,1,network_error,1
36196,3,2,1,0,13,0,checkout_abandoned,0
90568,2,4,1,2,22,0,card_declined,1
7438,2,0,1,2,23,1,network_error,1
5000,3,1,0,0,4,1,network_error,1
5000,2,3,0,0,18,0,card_declined,0
6423,3,7,0,1,22,0,insufficient_funds,1
5000,3,1,2,0,17,1,network_error,0
5000,1,4,0,10,9,0,checkout_abandoned,0
5000,2,0,0,30,3,1,network_error,1
5000,3,1,1,5,13,0,insufficient_funds,0
